biosample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMN02646214		LAYM01000038.1	709	1545	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
SAMN02646214		LAYM01000038.1	1542	1886	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
SAMN02646214		LAYM01000039.1	37978	38859	-	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase		
SAMN02646214		LAYM01000039.1	38918	40390	-	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)		
SAMN02646214		LAYM01000042.1	12790	14265	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	98.37	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
SAMN02646214		LAYM01000046.1	4882	5682	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
SAMN02646214		LAYM01000046.1	6090	6866	+	aph(3')-VIb	aminoglycoside O-phosphotransferase APH(3')-VIb	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	259	259	100.0	100.0	259	WP_000422633.1	aminoglycoside O-phosphotransferase APH(3')-VIb		
SAMN02646214		LAYM01000052.1	18	857	+	blaOXA-58	carbapenem-hydrolyzing class D beta-lactamase OXA-58	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	280	280	100.0	100.0	280	WP_002002480.1	carbapenem-hydrolyzing class D beta-lactamase OXA-58		
SAMN02646214		LAYM01000055.1	3836	5020	-	tet(39)	tetracycline efflux MFS transporter Tet(39)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	395	395	100.0	99.75	395	WP_004856455.1	tetracycline efflux MFS transporter Tet(39)		
SAMN02646214		LAYM01000056.1	4783	5640	-	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId		
SAMN02646214		LAYM01000062.1	271	741	+	dfrA16	trimethoprim-resistant dihydrofolate reductase DfrA16	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_032490158.1	trimethoprim-resistant dihydrofolate reductase DfrA16		
SAMN02646214		LAYM01000062.1	908	1771	+	blaPSE	PSE family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	288	288	100.0	99.31	288	WP_032489168.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-4		
SAMN02646214		LAYM01000064.1	105	968	-	blaCARB-2	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	288	288	100.0	100.0	288	WP_001931474.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2		
SAMN04014874		MPCA01000001.1	110838	111614	+	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	259	259	100.0	100.0	259	WP_014386410.1	APH(3')-VI family aminoglycoside O-phosphotransferase		
SAMN04014874		MPCA01000001.1	112895	113704	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1		
SAMN04014874		MPCA01000001.1	113711	114073	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
SAMN04014874		MPCA01000001.1	960250	962961	+	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
SAMN04014874		MPCA01000001.1	985723	986913	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.0	100.0	397	AKA30736.1	chloramphenicol efflux transporter CxpE		
SAMN04014874		MPCA01000001.1	1196425	1197573	-	blaADC-80	extended-spectrum class C beta-lactamase ADC-80	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_029424536.1	extended-spectrum class C beta-lactamase ADC-80		
SAMN04014874		MPCA01000001.1	1300056	1301219	-	blaADC-176	extended-spectrum class C beta-lactamase ADC-176	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	388	388	100.0	100.0	388	WP_001159761.1	extended-spectrum class C beta-lactamase ADC-176		
SAMN04014874		MPCA01000001.1	1628408	1629883	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	96.34	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
SAMN04014874		MPCA01000001.1	2305215	2306036	+	blaOXA-94	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-94	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_029424390.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-94		
SAMN04014874		MPCA01000003.1	230178	231464	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	429	429	100.0	99.77	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
SAMN04014874		MPCA01000003.1	252347	253159	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
SAMN04014874		MPCA01000003.1	1004052	1005299	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	98.32	416	ADY84088.1	nickel resistance MFS transporter NreB		
SAMN04014874		MPCA01000003.1	1401190	1403406	-	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.59	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
SAMN04014874		MPCA01000004.1	38037	38822	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	99.24	262	WP_001112624.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
SAMN04014874		MPCA01000010.1	381	911	-	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia		
SAMN04014874		MPCA01000010.1	6459	6989	-	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia		
SAMN04014877		MPBY01000001.1	260037	260837	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
SAMN04014877		MPBY01000001.1	260840	261673	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
SAMN04014877		MPBY01000001.1	273278	273847	-	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	190	190	100.0	100.0	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian		
SAMN04014877		MPBY01000001.1	276236	277048	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
SAMN04014877		MPBY01000002.1	433593	436304	+	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
SAMN04014877		MPBY01000002.1	459064	460254	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.0	100.0	397	AKA30736.1	chloramphenicol efflux transporter CxpE		
SAMN04014877		MPBY01000002.1	665536	666684	-	blaADC-214	extended-spectrum class C beta-lactamase ADC-214	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_060454527.1	extended-spectrum class C beta-lactamase ADC-214		
SAMN04014877		MPBY01000002.1	896113	897588	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	98.98	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
SAMN04014877		MPBY01000002.1	1328658	1330052	-	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	INTERNAL_STOP	465	465	100.0	96.34	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
SAMN04014877		MPBY01000002.1	1335347	1336417	+	adeS_G336S	Acinetobacter baumannii efflux resistant AdeS	core	AMR	POINT	EFFLUX	EFFLUX	POINTX	357	361	98.89	97.48	357	WP_031379793.1	two-component sensor histidine kinase AdeS		
SAMN04014877		MPBY01000002.1	1335347	1336417	+	adeS_N125K	Acinetobacter baumannii efflux resistant AdeS	core	AMR	POINT	EFFLUX	EFFLUX	POINTX	357	361	98.89	97.48	357	WP_031379793.1	two-component sensor histidine kinase AdeS		
SAMN04014877		MPBY01000002.1	1670594	1671415	+	blaOXA-65	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021782.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65		
SAMN04014877		MPBY01000002.1	1759263	1759832	-	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	190	190	100.0	100.0	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian		
SAMN04014877		MPBY01000002.1	2152761	2154047	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	429	429	100.0	99.77	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
SAMN04014877		MPBY01000002.1	2932234	2933481	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	98.08	416	ADY84088.1	nickel resistance MFS transporter NreB		
SAMN04014877		MPBY01000002.1	3320428	3322644	-	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.86	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
SAMN04014877		MPBY01000002.1	3381821	3382606	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	99.24	262	WP_001112624.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
SAMN04014877		MPBY01000003.1	1349	2173	-	blaOXA-24	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-24	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	275	275	100.0	100.0	275	WP_012754353.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-24		
SAMN04014878		MPBX01000002.1	92140	92916	+	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	259	259	100.0	100.0	259	WP_014386410.1	APH(3')-VI family aminoglycoside O-phosphotransferase		
SAMN04014878		MPBX01000002.1	94197	95006	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1		
SAMN04014878		MPBX01000002.1	95013	95375	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
SAMN04014878		MPBX01000005.1	365906	368617	+	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
SAMN04014878		MPBX01000005.1	391379	392569	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.0	100.0	397	AKA30736.1	chloramphenicol efflux transporter CxpE		
SAMN04014878		MPBX01000005.1	602081	603229	-	blaADC-80	extended-spectrum class C beta-lactamase ADC-80	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_029424536.1	extended-spectrum class C beta-lactamase ADC-80		
SAMN04014878		MPBX01000005.1	705712	706875	-	blaADC-176	extended-spectrum class C beta-lactamase ADC-176	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	388	388	100.0	100.0	388	WP_001159761.1	extended-spectrum class C beta-lactamase ADC-176		
SAMN04014878		MPBX01000005.1	1034065	1035540	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	96.34	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
SAMN04014878		MPBX01000005.1	1712159	1712980	+	blaOXA-94	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-94	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_029424390.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-94		
SAMN04014878		MPBX01000005.1	1957547	1958833	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	429	429	100.0	99.77	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
SAMN04014878		MPBX01000005.1	1979716	1980528	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
SAMN04014878		MPBX01000005.1	2731430	2732677	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	98.32	416	ADY84088.1	nickel resistance MFS transporter NreB		
SAMN04014878		MPBX01000005.1	3129757	3131973	-	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.59	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
SAMN04014878		MPBX01000006.1	1438	1785	-	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	PARTIALX	116	177	65.54	93.97	116	WP_032490446.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia		
SAMN04014878		MPBX01000006.1	7477	8007	-	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia		
SAMN04014878		MPBX01000007.1	38549	39334	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	99.24	262	WP_001112624.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
SAMN04014886		MPBW01000001.1	14224	15387	-	blaADC-176	extended-spectrum class C beta-lactamase ADC-176	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	388	388	100.0	100.0	388	WP_001159761.1	extended-spectrum class C beta-lactamase ADC-176		
SAMN04014886		MPBW01000003.1	420891	423602	+	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
SAMN04014886		MPBW01000003.1	446363	447553	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.0	100.0	397	AKA30736.1	chloramphenicol efflux transporter CxpE		
SAMN04014886		MPBW01000003.1	679221	680369	-	blaADC-11	extended-spectrum class C beta-lactamase ADC-11	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211205.1	extended-spectrum class C beta-lactamase ADC-11		
SAMN04014886		MPBW01000003.1	1076575	1077393	+	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23		
SAMN04014886		MPBW01000003.1	1092494	1093969	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	492	492	100.0	100.0	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
SAMN04014886		MPBW01000003.1	1399217	1400611	+	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	465	465	100.0	97.2	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
SAMN04014886		MPBW01000003.1	1700188	1701009	+	blaOXA-69	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021779.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69		
SAMN04014886		MPBW01000003.1	1947492	1948778	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	429	429	100.0	99.77	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
SAMN04014886		MPBW01000004.1	728701	729948	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	98.32	416	ADY84088.1	nickel resistance MFS transporter NreB		
SAMN04014886		MPBW01000005.1	11692	12510	-	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23		
SAMN04014886		MPBW01000005.1	282008	282844	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
SAMN04014886		MPBW01000005.1	282841	283185	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
SAMN04014886		MPBW01000005.1	283352	284140	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1		
SAMN04014886		MPBW01000005.1	285187	285648	-	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	154	154	100.0	100.0	154	WP_002089484.1	aminoglycoside N-acetyltransferase AAC(3)-Ia		
SAMN04014886		MPBW01000005.1	288258	289070	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia		
SAMN04014886		MPBW01000005.1	294850	295707	-	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1		
SAMN04014886		MPBW01000005.1	300603	301259	+	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.0	100.0	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase		
SAMN04014886		MPBW01000005.1	305111	306307	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
SAMN04014886		MPBW01000005.1	307505	307930	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR		
SAMN04014886		MPBW01000005.1	308020	308364	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	115	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT		
SAMN04014886		MPBW01000005.1	309150	310832	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.0	93.23	561	ACU65296.1	mercury(II) reductase		
SAMN04014886		MPBW01000005.1	310853	311215	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.0	90.08	121	AAC38221.1	mercury resistance co-regulator MerD		
